step,lr,train_loss,val_loss,step_ms
0,3e-05,3.8976335525512695,3.9144515991210938,852.5186814367771
250,0.002993761802481418,1.6556289196014404,1.8159366846084595,8.718117140233517
500,0.00295584806510269,1.3727647066116333,1.6063870191574097,9.789390489459038
750,0.002884457041071347,1.2262972593307495,1.529383659362793,8.762266486883163
1000,0.002781418941603985,1.110520839691162,1.5425053834915161,8.730122819542885
1250,0.002649375296051676,0.9659300446510315,1.6290980577468872,8.657535538077354
1500,0.0024917112325092902,0.7874824404716492,1.791050672531128,8.809560909867287
1750,0.0023124686952053163,0.618659257888794,2.0809311866760254,8.734210394322872
2000,0.0021162428234687653,0.46593090891838074,2.3324155807495117,8.652138523757458
2250,0.0019080641487468528,0.3481706380844116,2.6412198543548584,9.802129119634628
2500,0.001693269629721735,0.27342331409454346,2.904628276824951,8.7305111810565
2750,0.0014773658317259167,0.21856757998466492,3.142362117767334,8.729161694645882
3000,0.0012658877580481063,0.1822887808084488,3.3468570709228516,8.762460201978683
3250,0.0010642569521912967,0.15299077332019806,3.539308786392212,8.703484199941158
3500,0.0008776425088350712,0.13376733660697937,3.7271721363067627,8.811873383820057
3750,0.0007108285566852934,0.11701147258281708,3.8686089515686035,8.76638013869524
4000,0.0005680916104782587,0.10706803947687149,4.0121750831604,8.757287636399269
4250,0.0004530909363964498,0.09986376762390137,4.134260654449463,8.814609609544277
4500,0.00036877474153559735,0.09387701749801636,4.164665699005127,9.415865875780582
4750,0.00031730459239049226,0.08963435143232346,4.223379611968994,8.776792325079441
4999,0.000300000277467003,0.08770871162414551,4.262220859527588,8.708351291716099
