step,lr,train_loss,val_loss,step_ms
0,3e-05,4.1554036140441895,4.157293319702148,71.07969999992747
200,0.0029815877595936752,2.2796216011047363,2.291107177734375,60.65620000003946
400,0.00283728956412876,1.9062296152114868,2.030193328857422,56.299600000102146
600,0.0025643301216947507,1.7163366079330444,1.851453423500061,54.955199999994875
800,0.002192288823281509,1.6059077978134155,1.7722402811050415,55.37049999998089
1000,0.0017614821163876488,1.5517171621322632,1.7162281274795532,61.87799999997878
1200,0.0013185945923599213,1.4793426990509033,1.6527332067489624,62.363900000036665
1400,0.0009116199865347239,1.4301929473876953,1.645269751548767,57.57880000010118
1600,0.0005846603123148688,1.3905853033065796,1.6017385721206665,59.36289999999644
1800,0.00037314672370414325,1.3616106510162354,1.5949211120605469,66.30670000004102
1999,0.0003000018454242252,1.3546910285949707,1.5723927021026611,56.0921999999664
