step,lr,train_loss,val_loss,step_ms
0,3e-05,3.9682528972625732,3.9815921783447266,3803.338984027505
250,0.002993761802481418,1.6499700546264648,1.8157790899276733,8.732429705560207
500,0.00295584806510269,1.3768529891967773,1.6023401021957397,8.72657261788845
750,0.002884457041071347,1.2320952415466309,1.5359160900115967,8.708356879651546
1000,0.002781418941603985,1.1280349493026733,1.5499681234359741,8.741434663534164
1250,0.002649375296051676,1.0113393068313599,1.6052378416061401,8.905122987926006
1500,0.0024917112325092902,0.8651430606842041,1.714271903038025,8.751155808568
1750,0.0023124686952053163,0.7219003438949585,1.9343854188919067,8.83804727345705
2000,0.0021162428234687653,0.5715899467468262,2.182121515274048,8.748622611165047
2250,0.0019080641487468528,0.44367271661758423,2.421595573425293,8.813852444291115
2500,0.001693269629721735,0.3442118167877197,2.7233736515045166,8.88653751462698
2750,0.0014773658317259167,0.26767435669898987,2.966914176940918,8.847365155816078
3000,0.0012658877580481063,0.21665899455547333,3.212660551071167,8.725040592253208
3250,0.0010642569521912967,0.1798561066389084,3.4696364402770996,8.68875253945589
3500,0.0008776425088350712,0.15269482135772705,3.665625810623169,8.706143125891685
3750,0.0007108285566852934,0.13219082355499268,3.864107131958008,8.739836513996124
4000,0.0005680916104782587,0.11856904625892639,4.003106117248535,8.721536956727505
4250,0.0004530909363964498,0.10914412140846252,4.160551071166992,8.747020736336708
4500,0.00036877474153559735,0.10151748359203339,4.239005088806152,8.771556429564953
4750,0.00031730459239049226,0.0960555300116539,4.307275295257568,8.701546117663383
4999,0.000300000277467003,0.09481935203075409,4.372720718383789,8.76666884869337
