step,lr,train_loss,val_loss,step_ms
0,3e-05,4.061283111572266,4.076414585113525,1535.6388483196497
250,0.002993761802481418,1.7287603616714478,1.8947187662124634,11.929824016988277
500,0.00295584806510269,1.5262352228164673,1.7297465801239014,10.815381072461605
750,0.002884457041071347,1.459761381149292,1.671028733253479,10.720953345298767
1000,0.002781418941603985,1.4270532131195068,1.6586984395980835,10.662991553544998
1250,0.002649375296051676,1.3866456747055054,1.6403406858444214,10.764645412564278
1500,0.0024917112325092902,1.3577516078948975,1.6204252243041992,10.786929167807102
1750,0.0023124686952053163,1.3374241590499878,1.6356675624847412,10.7123963534832
2000,0.0021162428234687653,1.3172117471694946,1.6048223972320557,10.725069791078568
2250,0.0019080641487468528,1.2947900295257568,1.6176015138626099,10.818097740411758
2500,0.001693269629721735,1.2737643718719482,1.6001195907592773,10.722599923610687
2750,0.0014773658317259167,1.254645586013794,1.6050201654434204,10.727682150900364
3000,0.0012658877580481063,1.2352105379104614,1.5874158143997192,10.719629004597664
3250,0.0010642569521912967,1.21681809425354,1.6073156595230103,10.728688910603523
3500,0.0008776425088350712,1.199453353881836,1.6146130561828613,10.72322390973568
3750,0.0007108285566852934,1.1791759729385376,1.6363835334777832,10.843907482922077
4000,0.0005680916104782587,1.154302716255188,1.645898461341858,10.77246107161045
4250,0.0004530909363964498,1.1422362327575684,1.64332914352417,10.737931355834007
4500,0.00036877474153559735,1.1296809911727905,1.6625744104385376,10.850432328879833
4750,0.00031730459239049226,1.116952896118164,1.678341031074524,10.742382146418095
4999,0.000300000277467003,1.1057151556015015,1.6936535835266113,10.742914862930775
