step,lr,train_loss,val_loss,step_ms
0,3e-05,4.139869689941406,4.144106864929199,178.62579999973605
200,0.0029815877595936752,2.3951714038848877,2.4136135578155518,150.53839999973206
400,0.00283728956412876,1.977056860923767,2.0728867053985596,152.53829999983282
600,0.0025643301216947507,1.7637624740600586,1.8983242511749268,165.47049999962837
800,0.002192288823281509,1.6768379211425781,1.8377450704574585,152.6030999998511
1000,0.0017614821163876488,1.6202703714370728,1.8038451671600342,152.92779999981576
1200,0.0013185945923599213,1.5815633535385132,1.7421222925186157,154.5600999997987
1400,0.0009116199865347239,1.5582739114761353,1.7201855182647705,149.62389999982406
1600,0.0005846603123148688,1.5179197788238525,1.713602066040039,160.3333000002749
1800,0.00037314672370414325,1.4939749240875244,1.6821571588516235,147.81929999981003
1999,0.0003000018454242252,1.4837394952774048,1.6557728052139282,155.4799999998977
